gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category,vulnerability_score,combined_rank
URI1,URI1 (8725),-0.0817131214835595,-0.2247270938802076,0.0216357060674756,-1.691358157318913,-1.6096450358353531,0.3511722278707984,0.3756370540834784,92,970,0.5645526669808266,Other,0.07736207,62.0
ECD,ECD (11319),-0.095716719874479,-0.2578874235339412,0.009565722013392,-2.0857671612826008,-1.9900504414081217,0.3496418909500182,0.3914914692889228,92,970,0.5413818324435578,Other,0.05837105,72.0
SNRPF,SNRPF (6636),-0.0839602632296405,-0.2770938957940106,0.0267135601415318,-2.926924236463881,-2.842963973234241,0.2625876606900169,0.3386285216132435,92,970,0.5798586224851977,Other,0.06315316,78.0
PSMD7,PSMD7 (5713),-0.0947352002778354,-0.3046350461343873,0.0046020935866087,-2.017867430414196,-1.9231322301363605,0.2655314367752859,0.3505842754827527,92,970,0.4542034387236006,Other,0.056738347,91.0
CDK1,CDK1 (983),-0.1030333085398527,-0.2688221353456788,0.019452821956277,-2.272955447584432,-2.1699221390445795,0.3416292296328135,0.42082276382351,92,970,0.5625890202798417,Cell_cycle,0.05451287,109.0
ORC6,ORC6 (23594),-0.0827601654089362,-0.1762057472667106,0.0770812123433018,-1.7969454167266172,-1.714185251317681,0.4889762461975251,0.4495544866782723,92,970,0.7053481908988016,DNA_replication,0.057297505,112.0
KIF11,KIF11 (3832),-0.0922806328123959,-0.2241841531564763,0.0372818294626024,-2.3651744369476693,-2.2728938041352733,0.3880350193181274,0.4339414782776644,92,970,0.6126928150760833,Mitosis,0.05457098,120.0
NDC80,NDC80 (10403),-0.092002015851202,-0.3080176095058666,0.0099649202228116,-2.15694048533359,-2.064938469482388,0.3030691995774407,0.2942471888483151,92,970,0.5413818324435578,Mitosis,0.054222263,127.0
GSPT1,GSPT1 (2935),-0.1196335506841539,-0.247453736349225,0.007023444495484,-1.805503377941288,-1.6858698272571342,0.468894481692088,0.4975959473125858,92,970,0.5003272521619724,Other,0.051332027,144.0
HAUS3,HAUS3 (79441),-0.0672329691418904,-0.204440444047176,0.026233798792098,-1.229843019459521,-1.1626100503176302,0.3476990674936486,0.3088811476312469,92,970,0.5798586224851977,Other,0.059598267,145.0
ELAC2,ELAC2 (60528),-0.0641196806724107,-0.2296093791268504,0.0210534505392708,-1.0653111679376928,-1.001191487265282,0.2540187989054612,0.3023933068655667,92,970,0.5645526669808266,Other,0.058817055,167.0
PRIM1,PRIM1 (5557),-0.0568754637309183,-0.1763461835881664,0.0577840832022178,-2.218938763142096,-2.162063299411177,0.2977323458565404,0.3455371059443151,92,970,0.668674362078901,Other,0.06872748,185.0
SARS1,SARS1 (6301),-0.0726565419775249,-0.2111834551843741,0.1735556712773915,-2.597769031285968,-2.525112489308443,0.3007599521757791,0.3824616581629352,92,970,0.7964938564166473,Other,0.05395818,185.0
